Layer Number,absolute_image_capture_timestamp,actual_ventilator_flow_rate,bottom_chamber_temperature,bottom_flow_rate,bottom_flow_temperature,build_chamber_position,build_plate_temperature,build_time,gas_loop_oxygen,glass_scale_temperature,laser_rail_temperature,layer_times,module_oxygen,powder_chamber_position,target_ventilator_flow_rate,top_chamber_temperature,top_flow_rate,top_flow_temperature,ventilator_speed
0,1678860800,39.98138,26,39.99354,42,0,26,0,0,27,25,287.285,0,0,40,26,99.55062,28,35.073982
1,1678861000,39.970387,26,39.973244,42,0.05,26,0.07980139,0,27,25,283.215,0,0.15,40,26,99.4687,28,35.10742
2,1678861300,39.9762,26,39.989292,42,0.1,26,0.15847223,0,27,25,279,0,0.3,40,26,99.411,28,35.106876
3,1678861600,39.986656,26,39.991783,42,0.15,26,0.23597223,0,27,25,284.833,0,0.45,40,26,99.33742,28,35.12973
4,1678862000,39.97485,26,39.985832,42,0.2,26,0.3150925,0,27,25,278.5,0,0.6,40,26,99.346306,28,35.11908
5,1678862200,39.951538,26,39.968075,42,0.25,26,0.3924536,0,27,25,283.5,0,0.75,40,26,99.517715,28,35.13123
6,1678862500,39.98612,26,39.996006,42,0.3,26,0.47120363,0,27,25,281.188,0,0.9,40,26,99.54881,28,35.15522
7,1678862700,39.96905,26,39.975655,42,0.35,26,0.5493114,0,27,25,281.193,0,1.05,40,26,99.526825,28,35.13933
8,1678863000,39.979076,26,39.982918,42,0.4,26,0.62742054,0,27,25,280.786,0,1.2,40,26,99.39814,28,35.141285
9,1678863400,39.978855,26,39.990765,42,0.45,26,0.7054167,0,27,25,284.166,0,1.35,40,26,99.37053,28,35.13183
10,1678863600,39.974884,26,39.992805,42,0.5,26,0.78435165,0,27,25,278.209,0,1.5,40,26,99.45509,28,35.208958
11,1678863900,39.972878,26,39.98343,42,0.55,26,0.86163193,9.03E-07,27,25,284.958,0,1.65,40,26,99.27167,28,35.179825
12,1678864100,39.97461,26,39.99443,42,0.6,26,0.94078696,9.03E-07,27,25,279.872,0,1.8,40,26,99.434525,28,35.176632
13,1678864400,39.981117,26,39.990078,42,0.65,26,1.0185292,9.03E-07,28,25,283.232,0,1.95,40,26,99.36332,28,35.17521
14,1678864800,39.99276,26,39.996746,42,0.7,26,1.0972047,9.03E-07,27,25,280.896,0,2.1,40,26,99.16469,28,35.102184
15,1678865000,39.97835,26,39.981155,42,0.75,26,1.1752313,9.03E-07,28,25,282,0,2.25,40,26,99.11853,28,35.129898
16,1678865300,39.97591,26,39.984287,42,0.8,26,1.2535647,9.03E-07,27,25,281.03,0,2.4,40,26,99.26834,28,35.17026
17,1678865500,39.98439,26,39.98856,42,0.85,26,1.3316286,9.03E-07,28,25,284.637,0,2.55,40,26,99.281815,28,35.163395
18,1678865800,39.971146,26,39.981,42,0.9,26,1.4106945,9.03E-07,27,25,278.25,0,2.7,40,26,99.45936,28,35.15279
19,1678866200,39.976204,26,39.98915,42,0.95,26,1.4879861,9.03E-07,28,25,284.821,0,2.85,40,26,99.57035,28,35.18609
20,1678866400,39.971497,26,39.984108,42,1,26,1.567103,9.03E-07,28,25,280.357,0,3,40,26,99.51452,28,35.20358
